Timestamp,Occupancy,Capacity,QueueLength,TrafficConditionNearby,IsSpecialDay,VehicleType,Latitude,Longitude
2016-10-04 07:59:42,61,577,2,low,0,car,28.5,77.15
2016-10-04 08:25:42,64,577,2,average,0,car,28.5,77.15
2016-10-04 08:59:42,80,577,2,low,0,car,28.5,77.15
2016-10-04 09:32:46,107,577,3,low,0,car,28.5,77.15
2016-10-04 09:59:48,150,577,3,low,0,car,28.5,77.15
2016-10-04 10:26:49,177,577,4,low,0,car,28.5,77.15
2016-10-04 10:59:48,219,577,6,average,0,bike,28.5,77.15
2016-10-04 11:25:47,247,577,7,average,0,car,28.5,77.15
2016-10-04 11:59:44,259,577,6,average,0,car,28.5,77.15
2016-10-04 12:29:45,266,577,10,high,0,bike,28.5,77.15
2016-10-04 13:02:48,269,577,9,high,0,car,28.5,77.15
2016-10-04 13:29:45,263,577,9,high,0,car,28.5,77.15
2016-10-04 14:02:47,238,577,5,average,0,car,28.5,77.15
2016-10-04 14:29:49,215,577,4,average,0,car,28.5,77.15
2016-10-04 14:57:13,192,577,4,average,0,car,28.5,77.15
2016-10-04 15:30:14,165,577,3,average,0,cycle,28.5,77.15
2016-10-04 16:04:12,162,577,2,low,0,car,28.5,77.15
2016-10-04 16:31:14,143,577,2,low,0,car,28.5,77.15
2016-10-05 07:57:17,54,577,1,low,0,cycle,28.5,77.15
2016-10-05 08:30:15,59,577,2,average,0,bike,28.5,77.15
2016-10-05 09:04:19,71,577,3,low,0,car,28.5,77.15
2016-10-05 09:30:15,83,577,2,low,0,bike,28.5,77.15
2016-10-05 10:04:15,114,577,3,low,0,car,28.5,77.15
2016-10-05 10:30:17,128,577,4,average,0,bike,28.5,77.15
2016-10-05 11:04:19,148,577,6,average,0,cycle,28.5,77.15
2016-10-05 11:30:18,162,577,6,average,0,bike,28.5,77.15
2016-10-05 12:04:14,178,577,9,high,0,truck,28.5,77.15
2016-10-05 12:30:16,183,577,7,average,0,car,28.5,77.15
2016-10-05 12:57:15,175,577,9,high,0,truck,28.5,77.15
2016-10-05 13:30:19,179,577,8,high,0,car,28.5,77.15
2016-10-05 13:57:20,174,577,6,average,0,bike,28.5,77.15
2016-10-05 14:30:17,158,577,5,average,0,car,28.5,77.15
2016-10-05 14:57:19,145,577,5,average,0,car,28.5,77.15
2016-10-05 15:30:15,129,577,2,low,0,car,28.5,77.15
2016-10-05 16:04:18,121,577,3,low,0,cycle,28.5,77.15
2016-10-05 16:30:17,114,577,2,average,0,car,28.5,77.15
2016-10-06 07:57:25,58,577,2,average,0,bike,28.5,77.15
2016-10-06 08:30:20,63,577,1,low,0,car,28.5,77.15
2016-10-06 08:57:22,70,577,1,low,0,car,28.5,77.15
2016-10-06 09:30:20,95,577,3,average,0,car,28.5,77.15
2016-10-06 10:03:20,135,577,4,low,0,car,28.5,77.15
2016-10-06 10:30:20,160,577,7,high,0,car,28.5,77.15
2016-10-06 10:57:20,177,577,5,average,0,car,28.5,77.15
2016-10-06 11:30:22,191,577,6,average,0,car,28.5,77.15
2016-10-06 12:04:24,199,577,9,high,0,car,28.5,77.15
2016-10-06 12:30:24,206,577,9,high,0,truck,28.5,77.15
2016-10-06 12:57:21,198,577,9,high,0,car,28.5,77.15
2016-10-06 13:30:21,208,577,9,high,0,car,28.5,77.15
2016-10-06 13:57:22,200,577,6,average,0,car,28.5,77.15
2016-10-06 14:30:23,175,577,4,average,0,car,28.5,77.15
2016-10-06 15:04:22,158,577,3,low,0,bike,28.5,77.15
2016-10-06 15:31:22,153,577,3,average,0,car,28.5,77.15
2016-10-06 16:04:23,135,577,2,low,0,cycle,28.5,77.15
2016-10-06 16:30:27,129,577,2,low,0,truck,28.5,77.15
2016-10-07 08:03:27,58,577,2,low,0,car,28.5,77.15
2016-10-07 08:30:27,61,577,2,low,0,car,28.5,77.15
2016-10-07 09:04:13,75,577,3,average,0,car,28.5,77.15
2016-10-07 09:30:27,103,577,2,low,0,car,28.5,77.15
2016-10-07 09:57:27,128,577,3,low,0,car,28.5,77.15
2016-10-07 10:30:27,172,577,5,average,0,car,28.5,77.15
2016-10-07 10:57:30,188,577,5,average,0,cycle,28.5,77.15
2016-10-07 11:30:28,199,577,6,average,0,car,28.5,77.15
2016-10-07 12:03:29,210,577,6,average,0,bike,28.5,77.15
2016-10-07 12:30:28,206,577,9,high,0,car,28.5,77.15
2016-10-07 13:04:28,200,577,9,high,0,car,28.5,77.15
2016-10-07 13:30:29,201,577,9,high,0,car,28.5,77.15
2016-10-07 14:03:28,193,577,5,average,0,cycle,28.5,77.15
2016-10-07 14:30:32,181,577,5,average,0,cycle,28.5,77.15
2016-10-07 15:04:30,172,577,3,low,0,car,28.5,77.15
2016-10-07 15:30:32,159,577,2,low,0,cycle,28.5,77.15
2016-10-07 15:57:31,158,577,3,low,0,cycle,28.5,77.15
2016-10-07 16:30:29,132,577,3,low,0,cycle,28.5,77.15
2016-10-08 07:57:38,58,577,2,low,0,truck,28.5,77.15
2016-10-08 08:30:37,61,577,3,low,0,car,28.5,77.15
2016-10-08 08:57:34,75,577,1,low,0,car,28.5,77.15
2016-10-08 09:30:37,104,577,4,average,0,bike,28.5,77.15
2016-10-08 10:04:34,158,577,4,low,0,car,28.5,77.15
2016-10-08 10:30:34,191,577,5,average,0,car,28.5,77.15
2016-10-08 10:57:34,223,577,5,average,0,car,28.5,77.15
2016-10-08 11:30:38,254,577,6,average,0,bike,28.5,77.15
2016-10-08 12:04:34,306,577,10,high,0,bike,28.5,77.15
2016-10-08 12:30:36,320,577,11,high,0,cycle,28.5,77.15
2016-10-08 13:04:39,348,577,10,high,0,car,28.5,77.15
2016-10-08 13:30:36,357,577,10,high,0,car,28.5,77.15
2016-10-08 14:03:38,395,577,5,average,0,bike,28.5,77.15
2016-10-08 14:30:35,400,577,5,average,0,cycle,28.5,77.15
2016-10-08 14:57:41,395,577,6,average,0,cycle,28.5,77.15
2016-10-08 15:30:39,406,577,3,low,0,truck,28.5,77.15
2016-10-08 16:04:39,381,577,3,average,0,bike,28.5,77.15
2016-10-08 16:30:42,365,577,3,low,0,car,28.5,77.15
2016-10-09 08:04:40,42,577,2,low,1,car,28.5,77.15
2016-10-09 08:30:45,42,577,3,low,1,car,28.5,77.15
2016-10-09 09:04:46,43,577,3,average,1,bike,28.5,77.15
2016-10-09 09:30:45,43,577,3,low,1,bike,28.5,77.15
2016-10-09 09:57:41,50,577,3,low,1,car,28.5,77.15
2016-10-09 10:30:43,64,577,5,average,1,car,28.5,77.15
2016-10-09 11:04:44,100,577,8,average,1,car,28.5,77.15
2016-10-09 11:30:41,126,577,8,average,1,car,28.5,77.15
2016-10-09 11:57:46,148,577,8,average,1,cycle,28.5,77.15
2016-10-09 12:30:41,170,577,13,high,1,truck,28.5,77.15
2016-10-09 13:04:43,189,577,12,high,1,car,28.5,77.15
2016-10-09 13:30:42,205,577,9,average,1,bike,28.5,77.15
2016-10-09 14:03:42,208,577,7,average,1,truck,28.5,77.15
2016-10-09 14:30:42,209,577,7,average,1,car,28.5,77.15
2016-10-09 15:04:44,191,577,4,low,1,car,28.5,77.15
2016-10-09 15:30:46,180,577,4,low,1,car,28.5,77.15
2016-10-09 16:03:43,155,577,5,average,1,car,28.5,77.15
2016-10-09 16:30:43,133,577,3,low,1,car,28.5,77.15
2016-10-10 08:04:47,54,577,2,low,0,bike,28.5,77.15
2016-10-10 08:30:47,56,577,2,low,0,car,28.5,77.15
2016-10-10 09:04:47,65,577,1,low,0,truck,28.5,77.15
2016-10-10 09:30:49,73,577,2,low,0,bike,28.5,77.15
2016-10-10 10:03:48,92,577,3,low,0,car,28.5,77.15
2016-10-10 10:30:48,113,577,5,average,0,car,28.5,77.15
2016-10-10 10:57:52,144,577,4,average,0,car,28.5,77.15
2016-10-10 11:30:48,149,577,6,average,0,car,28.5,77.15
2016-10-10 11:57:49,159,577,8,high,0,truck,28.5,77.15
2016-10-10 12:30:48,171,577,9,high,0,bike,28.5,77.15
2016-10-10 13:04:49,176,577,9,high,0,bike,28.5,77.15
2016-10-10 13:30:49,172,577,9,high,0,bike,28.5,77.15
2016-10-10 14:03:49,161,577,5,average,0,car,28.5,77.15
2016-10-10 14:30:49,154,577,4,average,0,car,28.5,77.15
2016-10-10 14:57:54,137,577,5,average,0,bike,28.5,77.15
2016-10-10 15:30:49,129,577,2,low,0,car,28.5,77.15
2016-10-10 15:57:55,130,577,3,low,0,car,28.5,77.15
2016-10-10 16:30:49,114,577,3,low,0,car,28.5,77.15
2016-10-11 08:04:57,56,577,2,average,0,truck,28.5,77.15
2016-10-11 08:30:54,64,577,2,low,0,bike,28.5,77.15
2016-10-11 08:57:56,74,577,2,low,0,car,28.5,77.15
2016-10-11 09:30:55,93,577,2,low,0,car,28.5,77.15
2016-10-11 09:57:59,129,577,2,low,0,car,28.5,77.15
2016-10-11 10:30:54,167,577,5,average,0,car,28.5,77.15
2016-10-11 10:57:55,200,577,4,average,0,car,28.5,77.15
2016-10-11 11:30:59,219,577,7,average,0,car,28.5,77.15
2016-10-11 12:03:55,225,577,9,high,0,bike,28.5,77.15
2016-10-11 12:30:56,221,577,11,high,0,car,28.5,77.15
2016-10-11 13:04:00,217,577,9,high,0,truck,28.5,77.15
2016-10-11 13:31:01,217,577,9,high,0,truck,28.5,77.15
2016-10-11 14:04:00,208,577,5,average,0,cycle,28.5,77.15
2016-10-11 14:30:56,191,577,4,average,0,bike,28.5,77.15
2016-10-11 15:03:58,167,577,3,low,0,bike,28.5,77.15
2016-10-11 15:33:56,159,577,3,low,0,car,28.5,77.15
2016-10-11 16:01:00,150,577,2,low,0,car,28.5,77.15
2016-10-11 16:26:56,127,577,2,low,0,bike,28.5,77.15
2016-10-12 08:04:00,51,577,2,low,0,car,28.5,77.15
2016-10-12 08:31:01,57,577,2,low,0,car,28.5,77.15
2016-10-12 09:03:59,64,577,2,low,0,car,28.5,77.15
2016-10-12 09:26:58,73,577,2,low,0,car,28.5,77.15
2016-10-12 10:01:04,99,577,4,low,0,car,28.5,77.15
2016-10-12 10:31:04,112,577,4,average,0,car,28.5,77.15
2016-10-12 11:04:01,127,577,6,average,0,bike,28.5,77.15
2016-10-12 11:31:05,128,577,8,high,0,car,28.5,77.15
2016-10-12 12:04:04,143,577,6,average,0,car,28.5,77.15
2016-10-12 12:31:05,158,577,9,high,0,car,28.5,77.15
2016-10-12 13:04:04,157,577,9,high,0,car,28.5,77.15
2016-10-12 13:34:03,164,577,8,high,0,car,28.5,77.15
2016-10-12 14:03:59,167,577,7,high,0,bike,28.5,77.15
2016-10-12 14:34:04,159,577,7,high,0,car,28.5,77.15
2016-10-12 15:01:03,140,577,2,low,0,cycle,28.5,77.15
2016-10-12 15:30:59,128,577,3,low,0,bike,28.5,77.15
2016-10-12 15:57:05,121,577,2,low,0,car,28.5,77.15
2016-10-12 16:31:05,111,577,2,low,0,truck,28.5,77.15
2016-10-13 07:57:02,58,577,2,low,0,cycle,28.5,77.15
2016-10-13 08:31:06,65,577,2,average,0,car,28.5,77.15
2016-10-13 09:04:02,76,577,3,low,0,car,28.5,77.15
2016-10-13 09:31:01,97,577,3,low,0,bike,28.5,77.15
2016-10-13 09:57:08,127,577,4,average,0,car,28.5,77.15
2016-10-13 10:31:03,166,577,6,average,0,car,28.5,77.15
2016-10-13 11:04:08,200,577,6,average,0,car,28.5,77.15
2016-10-13 11:31:06,220,577,6,average,0,bike,28.5,77.15
2016-10-13 11:57:06,230,577,6,average,0,car,28.5,77.15
2016-10-13 12:31:08,231,577,10,high,0,car,28.5,77.15
2016-10-13 13:04:04,214,577,9,high,0,car,28.5,77.15
2016-10-13 13:31:08,203,577,9,high,0,cycle,28.5,77.15
2016-10-13 13:57:07,205,577,6,average,0,car,28.5,77.15
2016-10-13 14:31:06,181,577,5,average,0,cycle,28.5,77.15
2016-10-13 15:04:08,162,577,3,low,0,car,28.5,77.15
2016-10-13 15:31:08,144,577,3,low,0,bike,28.5,77.15
2016-10-13 16:04:08,132,577,2,low,0,truck,28.5,77.15
2016-10-13 16:31:08,130,577,3,low,0,car,28.5,77.15
2016-10-14 08:01:05,53,577,2,low,0,car,28.5,77.15
2016-10-14 08:27:10,57,577,1,low,0,bike,28.5,77.15
2016-10-14 09:01:08,67,577,2,low,0,car,28.5,77.15
2016-10-14 09:27:10,100,577,3,low,0,car,28.5,77.15
2016-10-14 10:01:11,134,577,3,low,0,truck,28.5,77.15
2016-10-14 10:27:09,157,577,5,average,0,car,28.5,77.15
2016-10-14 11:01:07,205,577,6,average,0,car,28.5,77.15
2016-10-14 11:27:06,220,577,6,average,0,car,28.5,77.15
2016-10-14 12:01:11,224,577,10,high,0,car,28.5,77.15
2016-10-14 12:27:06,213,577,9,high,0,car,28.5,77.15
2016-10-14 13:01:11,205,577,9,high,0,car,28.5,77.15
2016-10-14 13:27:07,201,577,9,high,0,car,28.5,77.15
2016-10-14 14:01:11,182,577,5,average,0,car,28.5,77.15
2016-10-14 14:34:08,174,577,4,average,0,cycle,28.5,77.15
2016-10-14 15:01:12,171,577,3,low,0,car,28.5,77.15
2016-10-14 15:27:08,161,577,3,low,0,car,28.5,77.15
2016-10-14 16:01:11,138,577,2,low,0,car,28.5,77.15
2016-10-14 16:34:08,134,577,3,average,0,cycle,28.5,77.15
2016-10-15 08:01:11,53,577,2,low,0,car,28.5,77.15
2016-10-15 08:34:10,63,577,1,low,0,car,28.5,77.15
2016-10-15 09:01:09,77,577,3,low,0,car,28.5,77.15
2016-10-15 09:27:11,101,577,3,low,0,cycle,28.5,77.15
2016-10-15 10:01:12,154,577,4,low,0,car,28.5,77.15
2016-10-15 10:27:15,171,577,4,low,0,car,28.5,77.15
2016-10-15 11:01:14,211,577,6,average,0,car,28.5,77.15
2016-10-15 11:27:14,239,577,6,average,0,car,28.5,77.15
2016-10-15 12:01:12,276,577,10,high,0,car,28.5,77.15
2016-10-15 12:27:10,297,577,11,high,0,car,28.5,77.15
2016-10-15 13:01:14,332,577,10,high,0,bike,28.5,77.15
2016-10-15 13:34:13,352,577,11,high,0,car,28.5,77.15
2016-10-15 14:01:13,391,577,6,average,0,car,28.5,77.15
2016-10-15 14:27:12,409,577,6,average,0,cycle,28.5,77.15
2016-10-15 15:01:13,442,577,4,low,0,cycle,28.5,77.15
2016-10-15 15:27:12,428,577,4,low,0,car,28.5,77.15
2016-10-15 16:01:15,412,577,3,low,0,car,28.5,77.15
2016-10-15 16:27:16,393,577,3,low,0,car,28.5,77.15
2016-10-16 08:04:13,48,577,2,low,1,car,28.5,77.15
2016-10-16 08:27:13,48,577,2,low,1,car,28.5,77.15
2016-10-16 09:01:15,55,577,3,low,1,car,28.5,77.15
2016-10-16 09:27:13,57,577,4,average,1,bike,28.5,77.15
2016-10-16 10:04:13,57,577,5,low,1,car,28.5,77.15
2016-10-16 10:34:13,56,577,4,average,1,car,28.5,77.15
2016-10-16 11:01:13,56,577,7,average,1,cycle,28.5,77.15
2016-10-16 11:27:17,56,577,6,average,1,bike,28.5,77.15
2016-10-16 12:01:16,65,577,11,high,1,car,28.5,77.15
2016-10-16 12:27:14,105,577,12,high,1,car,28.5,77.15
2016-10-16 13:01:16,131,577,11,high,1,truck,28.5,77.15
2016-10-16 13:27:17,146,577,11,high,1,truck,28.5,77.15
2016-10-16 14:01:18,170,577,6,average,1,car,28.5,77.15
2016-10-16 14:27:13,180,577,7,average,1,car,28.5,77.15
2016-10-16 15:01:18,192,577,4,low,1,car,28.5,77.15
2016-10-16 15:31:18,185,577,4,low,1,car,28.5,77.15
2016-10-16 15:57:16,173,577,4,low,1,bike,28.5,77.15
2016-10-16 16:31:17,154,577,3,low,1,car,28.5,77.15
2016-10-17 08:01:16,50,577,3,low,0,car,28.5,77.15
2016-10-17 08:27:16,54,577,2,low,0,car,28.5,77.15
2016-10-17 09:01:17,66,577,1,low,0,car,28.5,77.15
2016-10-17 09:27:20,76,577,2,low,0,car,28.5,77.15
2016-10-17 10:04:20,112,577,3,low,0,bike,28.5,77.15
2016-10-17 10:31:16,119,577,5,average,0,car,28.5,77.15
2016-10-17 11:04:20,144,577,5,average,0,car,28.5,77.15
2016-10-17 11:31:18,153,577,6,average,0,cycle,28.5,77.15
2016-10-17 12:04:19,159,577,9,high,0,cycle,28.5,77.15
2016-10-17 12:31:21,154,577,10,high,0,car,28.5,77.15
2016-10-17 12:57:17,154,577,9,high,0,bike,28.5,77.15
2016-10-17 13:31:21,157,577,8,high,0,car,28.5,77.15
2016-10-17 14:04:21,161,577,4,average,0,bike,28.5,77.15
2016-10-17 14:31:21,147,577,4,average,0,truck,28.5,77.15
2016-10-17 14:57:18,133,577,7,high,0,bike,28.5,77.15
2016-10-17 15:31:21,121,577,3,low,0,car,28.5,77.15
2016-10-17 15:57:17,115,577,2,low,0,car,28.5,77.15
2016-10-17 16:28:21,110,577,3,average,0,car,28.5,77.15
2016-10-18 08:01:23,57,577,3,low,0,bike,28.5,77.15
2016-10-18 08:28:25,60,577,2,low,0,car,28.5,77.15
2016-10-18 09:01:23,72,577,2,average,0,car,28.5,77.15
2016-10-18 09:28:22,91,577,2,low,0,car,28.5,77.15
2016-10-18 10:01:25,145,577,4,low,0,bike,28.5,77.15
2016-10-18 10:28:58,178,577,3,low,0,cycle,28.5,77.15
2016-10-18 11:01:57,220,577,7,average,0,car,28.5,77.15
2016-10-18 11:27:56,228,577,7,average,0,car,28.5,77.15
2016-10-18 12:01:59,231,577,10,high,0,car,28.5,77.15
2016-10-18 12:27:57,224,577,7,average,0,car,28.5,77.15
2016-10-18 13:01:56,237,577,8,high,0,car,28.5,77.15
2016-10-18 13:28:57,227,577,9,high,0,bike,28.5,77.15
2016-10-18 13:54:59,226,577,6,average,0,car,28.5,77.15
2016-10-18 14:27:56,200,577,4,average,0,bike,28.5,77.15
2016-10-18 15:01:58,165,577,4,low,0,car,28.5,77.15
2016-10-18 15:27:59,157,577,2,low,0,car,28.5,77.15
2016-10-18 15:55:00,149,577,3,low,0,truck,28.5,77.15
2016-10-18 16:27:54,124,577,2,low,0,cycle,28.5,77.15
2016-10-19 08:05:03,49,577,2,low,0,cycle,28.5,77.15
2016-10-19 08:25:01,51,577,1,low,0,bike,28.5,77.15
2016-10-19 08:58:05,59,577,2,low,0,bike,28.5,77.15
2016-10-19 09:32:04,76,577,2,low,0,bike,28.5,77.15
2016-10-19 09:58:04,105,577,2,low,0,truck,28.5,77.15
2016-10-19 10:25:04,135,577,4,low,0,bike,28.5,77.15
2016-10-19 10:59:00,156,577,5,average,0,bike,28.5,77.15
2016-10-19 11:25:04,177,577,6,average,0,car,28.5,77.15
2016-10-19 11:59:05,181,577,6,average,0,car,28.5,77.15
2016-10-19 12:25:00,171,577,9,high,0,car,28.5,77.15
2016-10-19 12:58:01,165,577,9,high,0,cycle,28.5,77.15
2016-10-19 13:25:03,167,577,9,high,0,car,28.5,77.15
2016-10-19 13:58:02,161,577,7,average,0,cycle,28.5,77.15
2016-10-19 14:32:03,156,577,4,average,0,cycle,28.5,77.15
2016-10-19 14:58:03,144,577,5,average,0,truck,28.5,77.15
2016-10-19 15:32:05,127,577,2,low,0,bike,28.5,77.15
2016-10-19 15:59:01,117,577,3,low,0,car,28.5,77.15
2016-10-19 16:25:03,110,577,2,low,0,car,28.5,77.15
2016-10-22 07:59:45,57,577,2,low,0,car,28.5,77.15
2016-10-22 08:26:46,59,577,2,low,0,car,28.5,77.15
2016-10-22 08:59:44,72,577,2,low,0,cycle,28.5,77.15
2016-10-22 09:26:47,93,577,2,low,0,car,28.5,77.15
2016-10-22 09:59:44,130,577,2,low,0,truck,28.5,77.15
2016-10-22 10:26:47,156,577,4,low,0,car,28.5,77.15
2016-10-22 10:59:47,198,577,7,high,0,truck,28.5,77.15
2016-10-22 11:32:43,239,577,6,average,0,cycle,28.5,77.15
2016-10-22 11:59:46,261,577,10,high,0,car,28.5,77.15
2016-10-22 12:32:47,324,577,11,high,0,bike,28.5,77.15
2016-10-22 12:59:47,359,577,11,high,0,car,28.5,77.15
2016-10-22 13:32:43,380,577,10,high,0,truck,28.5,77.15
2016-10-22 13:59:48,408,577,10,high,0,bike,28.5,77.15
2016-10-22 14:39:47,430,577,5,average,0,car,28.5,77.15
2016-10-22 14:59:48,424,577,6,average,0,bike,28.5,77.15
2016-10-22 15:26:49,403,577,4,low,0,car,28.5,77.15
2016-10-22 15:59:47,384,577,3,low,0,car,28.5,77.15
2016-10-22 16:26:47,340,577,3,low,0,truck,28.5,77.15
2016-10-23 07:59:48,47,577,3,low,1,car,28.5,77.15
2016-10-23 08:26:51,48,577,2,low,1,car,28.5,77.15
2016-10-23 08:59:50,51,577,3,low,1,bike,28.5,77.15
2016-10-23 09:26:51,50,577,3,low,1,bike,28.5,77.15
2016-10-23 09:59:52,54,577,3,low,1,bike,28.5,77.15
2016-10-23 10:26:53,60,577,5,low,1,bike,28.5,77.15
2016-10-23 10:59:53,80,577,8,high,1,car,28.5,77.15
2016-10-23 11:26:49,107,577,8,average,1,car,28.5,77.15
2016-10-23 11:59:50,125,577,9,average,1,car,28.5,77.15
2016-10-23 12:26:51,144,577,13,high,1,bike,28.5,77.15
2016-10-23 13:06:52,175,577,12,high,1,car,28.5,77.15
2016-10-23 13:26:55,192,577,12,high,1,car,28.5,77.15
2016-10-23 13:59:53,215,577,9,average,1,cycle,28.5,77.15
2016-10-23 14:26:51,226,577,7,average,1,car,28.5,77.15
2016-10-23 14:59:53,219,577,7,average,1,car,28.5,77.15
2016-10-23 15:26:56,215,577,4,low,1,cycle,28.5,77.15
2016-10-23 15:59:54,179,577,4,low,1,car,28.5,77.15
2016-10-23 16:26:57,150,577,4,low,1,car,28.5,77.15
2016-10-24 07:56:56,47,577,2,average,0,bike,28.5,77.15
2016-10-24 08:29:56,55,577,1,low,0,truck,28.5,77.15
